tid,toi,tfopwg_disp,pl_orbper,pl_tranmid,pl_trandurh
236158940,"5868.01","PC",2.6775730,2459817.2876700,2.8850000
210169818,"5869.01","PC",3.3879742,2459818.8969200,4.1270000
294090620,"587.01","FP",8.0442390,2459968.1227460,5.3289306
373816781,"5871.01","PC",1.3436360,2459822.2817010,2.2750000
138671052,"5872.01","PC",2.2425137,2459820.8671270,2.0620000
353146308,"5873.01","PC",0.4131063,2459823.9221220,0.3680000
376454594,"5874.01","PC",2.5784481,2459820.1442620,1.2530000
283165117,"5875.01","PC",5.2165810,2459821.1179670,3.3140000
106114491,"5876.01","FP",9.7216312,2459813.8600540,3.2720000
282890159,"5877.01","PC",6.9100016,2459820.3070420,4.5360000
247172524,"5878.01","PC",3.4363074,2459820.8717370,2.8610000
258037656,"5879.01","PC",4.0331416,2459848.1006840,1.3480000
130415266,"588.01","PC",39.4718663,2459981.7259430,6.1860000
184521624,"5880.01","PC",3.1162505,2459819.7651940,3.2890000
154459165,"611.01","FP",3.1471655,2459983.6647160,3.4020000
7439480,"6110.01","PC",1.2541235,2459360.3051230,1.1050000
189322727,"6111.01","APC",5.8340292,2459848.7806420,1.2890000
258741560,"6112.01","PC",1.8859353,2459852.0264840,1.3730000
116631353,"6113.01","PC",4.9218915,2459845.1975170,6.7150000
419840740,"6114.01","PC",8.9539287,2459849.3281850,2.6180000
120115768,"6115.01","PC",3.5529033,2459848.9440540,1.7220000
364408162,"6116.01","FP",3.1256662,2459848.6902250,2.9030000
436508469,"6117.01","PC",9.8663120,2459850.2572690,5.2850000
125367522,"6118.01","PC",4.6474314,2459849.2168590,8.4520000
322498101,"6119.01","PC",4.2070367,2459846.4679140,2.7120000
284738182,"612.01","PC",0.9136081,2459987.1580930,1.0990000
435851868,"6120.01","PC",2.1350899,2459852.2174680,1.9970000
165682741,"6121.01","PC",4.2916798,2459845.7470890,3.0880000
352442207,"6122.01","PC",4.6107024,2459847.2116240,5.6260000
91101364,"6123.01","PC",4.0833335,2459852.0863720,4.4060000
269488987,"6124.01","PC",2.8474853,2459850.4658270,2.3030000
404516402,"6125.01","PC",2.3107907,2459849.0223310,1.9630000
129004637,"6126.01","PC",7.1603723,2459843.2750900,4.6720000
286951368,"6373.01","PC",4.9613647,2459932.5785340,4.3180000
468501184,"6374.01","PC",4.5944948,2459933.2645230,3.4820000
390410937,"6375.01","PC",3.0679061,2459934.2439600,2.6450000
9441591,"6376.01","PC",4.7185893,2459934.8223570,5.5760000
187532854,"6377.01","FP",1.6513066,2459934.8744000,0.8200000
251594291,"6378.01","PC",12.9589981,2459916.2312190,3.6830000
450308271,"6379.01","PC",1.5057127,2459936.1274490,0.2440000
78154865,"638.01","FA",0.4938260,2458517.4279300,1.1626150
458890024,"6380.01","PC",5.1404883,2459933.9895860,1.9880000
470653603,"6381.01","PC",8.9270275,2459929.6343930,2.4090000
367522211,"6382.01","PC",35.3712924,2459894.7385300,1.9070000
328513434,"6383.01","CP",1.7904917,2459933.5952460,1.2230000
16550540,"6384.01","PC",2.4810218,2459959.5563690,1.5410000
16552586,"6385.01","PC",2.8895991,2459958.8474470,3.6470000
138344895,"6386.01","PC",6.2663565,2459958.6843890,1.3590000
459982699,"6387.01","PC",1.1669652,2459961.8222570,0.5620000
16776356,"6388.01","PC",1.3940614,2459962.1551680,0.9250000
239159011,"6389.01","PC",15.8034785,2459960.4861100,1.6480000
82362447,"639.01","FP",2.8198170,2458517.5606770,6.6112780
167654347,"6640.01","PC",16.9356875,2460128.6548860,3.2560000
241525834,"6641.01","PC",1.9647786,2460092.6735410,1.5860000
23111,"6642.01","PC",3.3421583,2460093.3973590,1.2840000
332887363,"6643.01","PC",4.8332515,2460088.1164500,4.3230000
149450435,"6644.01","PC",42.7305626,2460150.0153470,5.5910000
15827263,"6645.01","FP",3.9525732,2460505.2096650,2.3780000
346855283,"6646.01","PC",17.7505864,2459763.6572930,5.5780000
439943973,"6647.01","PC",3.9963956,2460606.9956220,3.8780000
440150441,"6648.01","PC",20.8639900,2459879.9452520,5.6240000
258940847,"6649.01","PC",5.9867942,2459881.3629390,0.9040000
73723286,"665.01","FP",14.0661090,2458547.3024880,3.4744355
64837857,"6650.01","PC",20.3292125,2460582.7116650,6.5840000
64837857,"6650.02","PC",30.5055627,2460578.5267180,6.9670000
64837857,"6650.03","PC",8.9965133,2460599.0868210,2.8420000
174328045,"6651.01","CP",5.0569708,2460601.0858240,3.4010000
283884522,"6652.01","PC",3.8388774,2459881.3341310,2.3910000
360142739,"5881.01","PC",2.2377411,2459821.4978390,4.0790000
232941965,"5882.01","CP",7.1487697,2459818.9053150,6.8640000
283759999,"5883.01","APC",0.5223032,2459823.6431400,0.6850000
13574009,"5884.01","PC",5.8311038,2459822.2968500,3.2830000
233788275,"5885.01","PC",4.7264391,2459820.3125060,3.1960000
15682927,"5886.01","FP",0.9655766,2459823.1597170,1.2240000
277987172,"5887.01","FP",6.3989216,2459824.0521870,2.7810000
273780062,"5888.01","PC",15.2501659,2459796.4602810,4.3310000
383214426,"5889.01","PC",2.4013188,2459823.0716570,1.9880000
412961700,"589.01","FP",2.5183846,2459230.3464920,2.1596206
279179610,"5890.01","PC",5.9029732,2459823.0197300,3.3370000
202941251,"5891.01","PC",4.1784844,2459823.6318480,4.3070000
375199523,"5892.01","FP",1.9447712,2459822.0645340,1.3450000
398038296,"5894.01","PC",3.0076713,2459815.8627590,3.0940000
243464977,"5895.01","APC",3.6491012,2459817.3051320,1.6910000
14956304,"5896.01","PC",0.9965843,2459823.4017630,2.6330000
305612552,"5897.01","PC",6.9349089,2459813.3539020,3.2340000
467211520,"5898.01","PC",9.7884653,2459823.6013880,3.8940000
313975346,"6127.01","PC",6.9191027,2459853.0201550,4.9080000
100769500,"6128.01","PC",4.5016419,2459852.5945970,1.8970000
115739057,"6129.01","PC",5.0310168,2459847.9008480,3.3340000
77527511,"613.01","PC",0.7784962,2459279.6509430,0.8560000
210083929,"6130.01","CP",2.3927114,2459849.6398340,1.8060000
357872559,"6131.01","PC",2.5530138,2459852.0878150,3.1090000
188800346,"6132.01","PC",18.8155978,2459835.1003470,4.1530000
129107501,"6133.01","FP",3.6534344,2459850.6337020,3.5190000
199721945,"6134.01","PC",4.6792090,2459847.4887070,4.2610000
100909102,"6135.01","PC",3.1106751,2459852.0864440,3.1290000
468692991,"6136.01","PC",3.9779111,2459852.8251810,1.8430000
44295981,"6137.01","PC",0.5204030,2459852.3587500,0.9950000
352892371,"6138.01","PC",9.7824078,2459848.4487360,3.8890000
468765355,"6139.01","PC",10.3299557,2459843.5933130,3.6660000
118021229,"614.01","FP",0.8850100,2458518.2814000,1.6220000
456783397,"6140.01","PC",3.4742682,2459846.8163460,2.5770000
217980791,"6141.01","PC",2.6607389,2459848.3049980,1.5380000
129108133,"6142.01","PC",4.9564809,2459852.0722240,1.6170000
423903685,"6143.01","FP",4.0938735,2459845.5106240,4.5370000
318071201,"6390.01","PC",5.2434358,2459956.1201710,2.1900000
171922657,"6391.01","PC",5.0134500,2459958.6677430,3.4370000
88460991,"6392.01","PC",6.9603975,2459961.9218150,3.7340000
147821208,"6393.01","PC",9.5315703,2459961.0615880,2.6950000
309512152,"6394.01","PC",13.0269760,2459944.6849790,5.1600000
