kepid,kepler_name,kepoi_name,koi_disposition,koi_period,koi_time0bk,koi_duration
8088354,,"K06959.01","FALSE POSITIVE",2.897829967,132.6047388,3.17788
8091197,,"K06960.01","CANDIDATE",4.88698386,132.8804,1.127
8094140,,"K06961.01","FALSE POSITIVE",0.706428634,132.1461749,1.75182
8094221,,"K06962.01","FALSE POSITIVE",10.8632531,141.6569,37.68
8097825,,"K06963.01","FALSE POSITIVE",1.46842648,132.165432,6.6666
8098300,,"K06964.01","FALSE POSITIVE",4.305917719,132.3501939,5.61993
8098515,,"K06965.01","FALSE POSITIVE",1.28659726,132.1114,3.53
8098960,,"K06966.01","CANDIDATE",8.47484677,138.47733,2.067
8104436,,"K06967.01","FALSE POSITIVE",2.535389624,133.38659,2.902
8815279,,"K07094.01","CANDIDATE",13.56092626,142.642578,2.53
8822585,,"K07095.01","FALSE POSITIVE",1.627538928,131.91531,5.583
8823397,,"K07096.01","FALSE POSITIVE",1.506503686,132.9914262,5.02151
8841616,,"K07097.01","FALSE POSITIVE",1.679585725,131.5600829,7.34648
8845221,,"K07098.01","FALSE POSITIVE",5.40346248,133.7451943,7.6494
8845552,,"K07099.01","CANDIDATE",34.0357766,138.9291,3.849
8848104,,"K07100.01","FALSE POSITIVE",0.824851807,131.6271509,1.93637
8848115,,"K07101.01","FALSE POSITIVE",0.82484293,131.6424,1.383
8868657,,"K07102.01","FALSE POSITIVE",4.4473549,133.8362,18.99
9726452,,"K07226.01","CANDIDATE",42.48452259,165.1372596,4.16
9762514,,"K07227.01","FALSE POSITIVE",7.51509713,138.09408,2.62
9762519,,"K07228.01","FALSE POSITIVE",7.51514595,138.0800379,3.54486
9777062,,"K07229.01","FALSE POSITIVE",19.230038188,132.5814956,7.04412
9786821,,"K07230.01","FALSE POSITIVE",21.120005744,150.128392,2.05573
9790965,,"K07231.01","FALSE POSITIVE",0.82206761,132.243022,3.8281
9790965,,"K07231.02","CANDIDATE",4.74701479,133.33305,2.464
9811915,,"K07232.01","CANDIDATE",1.96682825,132.68632,1.645
9818732,,"K07233.01","FALSE POSITIVE",45.035589512,132.633531,9.8341
10665749,,"K07359.01","CANDIDATE",4.237447181,135.17679,0.3792
10670112,,"K07360.01","CANDIDATE",4.0953585,135.7884,44.35
10680424,,"K07361.01","CANDIDATE",0.92623983,131.7203,1.267
10685175,,"K07362.01","FALSE POSITIVE",3.10197712,133.78902,7.083
10686876,,"K07363.01","FALSE POSITIVE",2.618414643,134.044367,4.99923
10686930,,"K07364.01","FALSE POSITIVE",2.61844178,134.03782,3.203
10711913,,"K07365.01","FALSE POSITIVE",19.407958161,135.3915368,6.09676
10732401,,"K07366.01","FALSE POSITIVE",0.933747375,131.5199,5.974
11906217,,"K07490.01","FALSE POSITIVE",37.910213899,162.458419,3.11152
11913052,,"K07491.01","FALSE POSITIVE",3.74785307,134.17465,3.444
11913071,,"K07492.01","FALSE POSITIVE",3.747835042,134.1877331,5.28519
11918482,,"K07493.01","FALSE POSITIVE",0.94754848,132.266431,1.7347
11922648,,"K07494.01","FALSE POSITIVE",1.75643185,132.0575,2.397
11922782,,"K07495.01","FALSE POSITIVE",1.756466865,132.030299,4.7781
11923819,,"K07496.01","FALSE POSITIVE",33.159475806,159.8126411,9.01353
11959569,,"K07497.01","FALSE POSITIVE",46.14869106,173.238091,19.092
11966557,,"K07498.01","FALSE POSITIVE",60.2976774,161.854691,14.2561
5897826,,"K00126.02","CANDIDATE",0.875197345,131.8135915,0.052
3240158,,"K01106.03","CANDIDATE",13.2298203,134.3757,3.566
